Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Crisis Inverted,1 - Underworld > Slanting Cracks Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111007586/crisis-inverted,4.0,-1,Sport,5.12c,1,35,43.54247,-73.95337
Storm Surge,Backwater Wall > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/121915740/storm-surge,4.0,-1,Trad,5.10,2,260,44.5156,-73.8232
Say Hello to My Little Friend,1 - Underworld > Slanting Cracks Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111198787/say-hello-to-my-little-friend,4.0,-1,Sport,5.12c,1,70,43.54247,-73.95337
Thunder and Lichen,Birch Wall > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/109477857/thunder-and-lichen,4.0,-1,Trad,5.11c,1,80,44.1287,-73.72395
Peach Meat,Cedar River Crag > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109433574/peach-meat,4.0,-1,Sport,5.11b,1,85,43.74566,-74.46219
One Route to Rule Them All,Underwood Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/118694361/one-route-to-rule-them-all,3.6,-1,Sport,5.12a,1,130,44.08727,-73.68867
Ladder,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106841202/ladder,2.4,-1,Trad,5.7 PG13,1,90,44.40783,-73.50371
The Other Side of Insanity,Serac Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/119747188/the-other-side-of-insanity,3.4,-1,Sport,5.10a,1,60,44.138,-73.74257
Puppies on Edge,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106814613/puppies-on-edge,2.3,-1,Trad,5.6,1,90,44.40783,-73.50371
Branches,Bald Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/113255817/branches,3.4,-1,Trad,5.6 R,2,150,43.73542,-74.91857
Medicine Man,Good Luck Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107812626/medicine-man,3.6,-1,Trad,5.11a,1,90,43.249,-74.557
Macho,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106059285/macho,3.4,-1,Trad,5.11b R,1,90,44.40783,-73.50371
Free Ride,Wallface > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/107605039/free-ride,3.3,-1,Trad,5.11a,8,735,44.137,-74.035
On the Fence,Sky High Wall > Sky High > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109651753/on-the-fence,3.5,-1,Trad,5.4,1,95,43.54061,-73.95651
Lichen or Not,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107167204/lichen-or-not,3.6,-1,Trad,5.11c,1,90,43.9051,-75.1959
Desperado,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106445012/desperado,2.6,-1,Trad,5.10c,1,90,44.06109,-73.66381
Lifelong Affliction,Tanager Face > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107208156/lifelong-affliction,3.1,-1,"Trad, TR",-5.9,1,50,44.13715,-73.74584
Ten B,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107564691/ten-b,3.1,-1,Sport,5.11a,1,45,43.2608,-74.5222
South Face Gothics Direct,Gothics > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/111922591/south-face-gothics-direct,3.7,-1,Trad,5.10d PG13,3,400,44.1258,-73.8586
Great Chimney,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107000832/great-chimney,2.5,-1,Trad,5.6,3,200,44.23598,-73.86449
Forever Young,Never Never Land > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117237498/forever-young,3.7,-1,Trad,5.10c,1,75,44.5156,-73.8232
Fistful of Stoppers,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111418532/fistful-of-stoppers,3.7,-1,Trad,5.10b,4,430,43.75526,-74.46058
Torcher,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106861704/torcher,3.7,-1,"Trad, TR",5.10b,1,105,43.5431,-73.95414
Toucan,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110645118/toucan,2.3,-1,Sport,-5.9,1,60,43.56076,-73.5939
Elusive Trophy,Lost Hunters > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/114551985/elusive-trophy,3.8,-1,Sport,5.13a/b,1,80,43.27049,-74.51824
Heroes,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109473480/heroes,3.8,-1,Trad,5.8 PG13,4,400,43.75526,-74.46058
"Run Higher, Jump Faster",Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/111700667/run-higher-jump-faster,3.8,-1,Trad,5.11b,1,80,44.23598,-73.86449
Invasive Species,Ragged Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/112911412/invasive-species,3.8,-1,Trad,5.10b,1,80,43.9609,-73.8628
Public Enemy,Split Rock Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/112080886/public-enemy,3.8,-1,Sport,5.12c,1,60,44.22557,-73.38588
Firing Line,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107755410/firing-line,3.8,-1,Trad,5.11 PG13,2,160,44.40783,-73.50371
Iron Cross,Potash Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110283062/iron-cross,3.8,-1,Sport,5.11c,1,70,43.3751,-73.82928
Tales of Weakness,Summit Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/113498780/tales-of-weakness,3.8,-1,Trad,5.9,1,100,44.516,-73.81299
Garand Arete,Rods'n'Guns Wall > West Ridge > West Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107964208/garand-arete,3.8,-1,Trad,5.10c/d PG13,1,90,43.35897,-73.97185
Flying Squirrels,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/109557846/flying-squirrels,3.3,-1,Trad,5.11b,1,100,44.23598,-73.86449
Something Wicked,Avalanche Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/111096446/something-wicked,3.6,-1,"Trad, Alpine",5.8,3,390,44.13628,-73.96915
Rock and Roll Star,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107155749/rock-and-roll-star,2.7,-1,Trad,5.10c,1,90,44.23598,-73.86449
What Every Lichen Knows,Never Never Land > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117237581/what-every-lichen-knows,3.6,-1,Trad,5.10b,1,65,44.5156,-73.8232
Parallel Passage,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106545831/parallel-passage,3.1,-1,Trad,5.10a,1,100,43.5431,-73.95414
Freudian Slip,Big Slide Mtn. > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/106057134/freudian-slip,3.2,-1,Sport,-5.9,3,400,44.1822,-73.8708
Ripples,The Aquarium > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/113658049/ripples,3.0,-1,Trad,5.10d,1,100,44.13771,-73.7441
The Prince,The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107691712/the-prince,2.6,-1,Trad,5.7,3,200,44.13223,-73.74423
Recuperation Boulevard,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106609417/recuperation-boulevard,2.8,-1,Trad,5.7,1,145,43.5431,-73.95414
Pillar,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107273009/pillar,2.6,-1,Trad,5.7,1,70,44.40783,-73.50371
La Spirale,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106792273/la-spirale,3.6,-1,Trad,5.11- PG13,1,85,44.40783,-73.50371
Connecticut Yankee,Center of Progress Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/121448226/connecticut-yankee,3.7,-1,Trad,5.10d,2,380,44.51538,-73.82384
"No Fun at Camp, No Sex at Breakfast",Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/113276827/no-fun-at-camp-no-sex-at-breakfast,3.7,-1,Sport,5.13a,1,60,43.9051,-75.1959
Warpath,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106696981/warpath,2.7,-1,Trad,-5.9,2,130,44.06109,-73.66381
Azurite,Azure Mountain > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/115363735/azurite,3.7,-1,Trad,5.11b,1,100,44.54125,-74.50099
Karmic Kickback,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/113478813/karmic-kickback,3.7,-1,Trad,5.11b,1,100,44.40783,-73.50371
Center Stage,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/110786664/center-stage,3.7,-1,"Trad, TR",5.12b PG13,1,100,44.14338,-73.75578
Berry Good,Bear Den > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/120869134/berry-good,3.7,-1,Trad,5.10a,2,180,44.3647,-73.8645
Runnin' Ragged,Ragged Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/112080021/runnin-ragged,3.7,-1,Trad,5.11d,1,100,43.9609,-73.8628
Round Two,Chatiemac Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/112327863/round-two,3.7,-1,Sport,5.12b,1,45,43.65702,-74.0376
Ward Cleaver,Typhoon Wall > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/111703812/ward-cleaver,3.7,-1,Sport,5.11c,1,60,44.21498,-73.70027
Do Me A Solid,Lake Lila > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107940154/do-me-a-solid,3.7,-1,Sport,5.10a,1,110,44.0051,-74.7801
Park and Ride,Highway Blues Slab > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/112046864/park-and-ride,3.7,-1,Trad,5.10,1,120,44.07487,-73.6735
Wiessner Route,Noonmark Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/106153895/wiessner-route,3.3,-1,"Trad, Alpine",5.8,1,90,44.125,-73.78724
Bella Vista,Bella Vista Slab > Belleview > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107829681/bella-vista,2.7,-1,Trad,5.7 PG13,5,510,43.54934,-73.95144
Two Evil Deeds,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110644869/two-evil-deeds,3.3,-1,Trad,5.10d,1,70,43.56076,-73.5939
Thanksgiving,Chapel Pond Slab > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106835022/thanksgiving,2.8,-1,Trad,5.7 R,6,550,44.1361,-73.7429
Lichenbrau,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107620044/lichenbrau,2.8,-1,Trad,5.7 PG13,2,170,44.14472,-73.75802
Bear Necessities,Bear Den > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/109521252/bear-necessities,3.5,-1,Trad,5.10a,3,300,44.3647,-73.8645
Plumb Line,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106529763/plumb-line,3.3,-1,Trad,5.11a,1,100,43.5431,-73.95414
Overdog,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107126353/overdog,2.9,-1,Trad,5.9,3,150,44.25695,-73.8634
The Success of Sully's Bride,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/109600691/the-success-of-sullys-bride,2.9,-1,Trad,5.7,1,90,43.26951,-74.56834
"Moe-hammed, Larry, & Curly",Long Play Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106962389/moe-hammed-larry-curly,2.9,-1,Trad,5.8,1,100,43.5378,-73.9677
Go to Bread,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/112086240/go-to-bread,3.4,-1,Sport,5.10d,1,50,43.9051,-75.1959
Brrright Star,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/117333781/brrright-star,3.4,-1,Trad,5.9,2,170,44.23598,-73.86449
Hard Times,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/114588179/hard-times,3.4,-1,Sport,5.11c,1,80,43.53608,-74.15106
Stihl Water,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/107653060/stihl-water,2.7,-1,Trad,5.9,1,80,43.9051,-75.1959
Wally,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/109631677/wally,3.2,-1,Trad,5.10a,1,90,43.26951,-74.56834
The Lonely,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107793208/the-lonely,2.5,-1,Trad,5.6,1,60,44.23598,-73.86449
The Cenotaph,Carhartt Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108203709/the-cenotaph,3.0,-1,Sport,5.10a/b,1,75,43.55552,-73.60298
Paralysis,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106447493/paralysis,2.8,-1,Trad,5.8+ PG13,4,400,44.40783,-73.50371
Rock Lobster,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107884583/rock-lobster,2.5,-1,Sport,5.9,1,100,43.5605,-73.60366
Shantytown,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107954921/shantytown,2.9,-1,Trad,5.9,1,80,43.53608,-74.15106
Hot n' Stanky,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/112050502/hot-n-stanky,3.1,-1,Trad,5.10b,1,100,43.9051,-75.1959
Dweezil,Neanderthal Cave > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108191851/dweezil,2.1,-1,Sport,5.7,1,65,43.55944,-73.60333
Matrix Reloaded,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108199496/matrix-reloaded,3.5,-1,Trad,5.8+ PG13,4,650,43.7974,-73.46669
Bob's Knob Standard,Chapel Pond Slab > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106823863/bobs-knob-standard,2.3,-1,Trad,5.3,6,840,44.1361,-73.7429
My Favorite Martian,UFO Wall > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/109090151/my-favorite-martian,3.1,-1,Trad,5.9,1,120,44.22335,-73.87387
Spirit of Adventure,Moss Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/115572960/spirit-of-adventure,3.5,-1,Trad,5.11a PG13,3,210,44.34048,-73.89977
Coy Dog,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/115130843/coy-dog,3.5,-1,Trad,5.10c,1,90,44.25695,-73.8634
Instant Makeout,Case Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/118022432/instant-makeout,3.5,-1,Sport,5.11a,1,130,44.14701,-73.76368
Buzzards’ Beards,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119911295/buzzards-beards,3.5,-1,Trad,5.10,1,75,44.51125,-73.83192
Tang Corner,Sleeping Beauty Mountain > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107219245/tang-corner,3.0,-1,Trad,5.8,1,80,43.5518,-73.54954
Running of the Bulls,Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/113620072/running-of-the-bulls,3.5,-1,Trad,5.11b,2,140,44.23598,-73.86449
Not Too Steep for My Lichen,Future Wall > Washbowl Pond > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/112499598/not-too-steep-for-my-lichen,3.5,-1,Sport,5.12c,1,65,44.14462,-73.74134
WISWIG,Left End > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106696955/wiswig,2.6,-1,Trad,5.11a,1,80,44.06057,-73.66462
"Monkey See, Monkey Do",The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/112865542/monkey-see-monkey-do,3.1,-1,Trad,5.11b,1,150,44.1454,-73.75082
Plumber's Crack,South Colton > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/111884193/plumbers-crack,3.1,-1,"Sport, TR",-5.9,1,40,44.4873,-74.8517
Pats' Blue Ribbon,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106055063/pats-blue-ribbon,3.2,-1,Sport,5.12a,1,60,44.14472,-73.75802
Little Gem Diner,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106875514/little-gem-diner,2.8,-1,"Trad, TR",5.6,1,110,43.53608,-74.15106
Die By The Drop,The Big Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108211679/die-by-the-drop,3.2,-1,Sport,5.10c,1,90,43.55905,-73.60329
Fun Country,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106919088/fun-country,2.5,-1,Trad,5.10a,1,130,44.25695,-73.8634
Little Sister,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119533953/little-sister,3.4,-1,Trad,5.11b,1,70,44.51125,-73.83192
Rico's Roughnecks,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119533907/ricos-roughnecks,3.4,-1,Trad,5.10d,2,200,44.51125,-73.83192
Sleepy Hollow,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107756460/sleepy-hollow,3.3,-1,Trad,5.8,1,100,43.5431,-73.95414
The Matrix,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/106545520/the-matrix,2.8,-1,Sport,-5.8,4,660,43.7974,-73.46669
Ebb and Flow,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/114590657/ebb-and-flow,3.4,-1,Sport,5.10b,1,125,44.5173,-73.7984
Son of Slime,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/108339856/son-of-slime,3.4,-1,Trad,5.10- PG13,2,,44.40783,-73.50371
Bodhi Tree,Long Play Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107565094/bodhi-tree,3.4,-1,Trad,5.9,1,140,43.5378,-73.9677
Another Wack and Dangle Job,The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106545399/another-wack-and-dangle-job,3.4,-1,Trad,5.12a,1,70,44.13223,-73.74423
Soul Confusion,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109670046/soul-confusion,3.3,-1,Trad,5.10b,4,450,43.75526,-74.46058
Valar Dohaeris,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111531038/valar-dohaeris,3.3,-1,Trad,5.10a,4,360,43.75526,-74.46058
Nature's Pocket,Chatiemac Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/119917064/natures-pocket,3.3,-1,Sport,5.11c,1,50,43.65702,-74.0376
Hang Time,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107877189/hang-time,3.3,-1,Trad,5.11b PG13,1,125,43.5431,-73.95414
Pandora's Box,Otter Lake Cliff > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107020170/pandoras-box,3.3,-1,Sport,5.11a,1,45,43.1936,-74.4966
Elusive Bastard,Twin Falls Cliff > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107368153/elusive-bastard,3.3,-1,Trad,5.11b,1,60,44.33737,-75.02798
Noah's Ark,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110644850/noahs-ark,2.9,-1,Sport,5.10c,1,70,43.56076,-73.5939
The Undertaker,Underwood Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/118973681/the-undertaker,3.5,-1,Sport,5.13a/b,1,80,44.08727,-73.68867
Castle Column,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/114506424/castle-column,3.5,-1,Trad,5.9,1,115,44.11333,-73.90655
Lick It Up,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/107717578/lick-it-up,2.8,-1,Trad,5.10a,1,65,44.25695,-73.8634
The Howling,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119020453/the-howling,3.5,-1,Sport,5.12c,1,70,44.40783,-73.50371
In Pursuit of Happiness,Lost Hunters > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/116167200/in-pursuit-of-happiness,3.5,-1,Sport,5.13a,1,80,43.27049,-74.51824
Summer Break,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119293561/summer-break,3.5,-1,Trad,5.12a PG13,3,250,44.40783,-73.50371
The Pride,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/110968572/the-pride,3.5,-1,Trad,5.9- PG13,4,560,44.11333,-73.90655
Pilgrim's Progress,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106445758/pilgrims-progress,3.1,-1,Trad,5.11,3,230,44.40783,-73.50371
Crazy Horse,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/110843186/crazy-horse,3.1,-1,Sport,5.12a,1,90,44.06109,-73.66381
Calvary Hill,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/113621292/calvary-hill,3.5,-1,Sport,5.12b,1,100,44.40783,-73.50371
Mistah Luthah,Moss Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/106550190/mistah-luthah,3.5,-1,Trad,5.12a/b,1,100,44.34048,-73.89977
Stable Weather,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108450145/stable-weather,3.5,-1,"Trad, TR",5.9,1,40,43.5605,-73.60366
The Keep,The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/112156633/the-keep,3.5,-1,Trad,5.11b,1,140,44.13223,-73.74423
Grand Ole Osprey,Cloudspin Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/120644297/grand-ole-osprey,3.5,-1,Trad,5.10b PG13,2,120,44.34623,-73.8617
The Big Reveal,Cobble Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/114601699/the-big-reveal,3.5,-1,Sport,5.13a,1,40,44.29088,-73.96272
Four Ounces to Freedom,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107452423/four-ounces-to-freedom,3.5,-1,Sport,5.12d,1,90,43.5431,-73.95414
Tier Pressure,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109473502/tier-pressure,3.5,-1,Trad,5.8+ R,4,420,43.75526,-74.46058
Bushido,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106865874/bushido,3.5,-1,Trad,5.11c PG13,1,130,44.40783,-73.50371
Garden of Leadin',Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/108373455/garden-of-leadin,3.1,-1,Sport,5.10c,1,130,44.5173,-73.7984
"Save a Tree, Eat a Beaver",Beaver Brook > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/111979357/save-a-tree-eat-a-beaver,3.5,-1,Sport,5.10d,1,90,44.36496,-73.80958
Atwell's Revenge,Ice Cave Mountain > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/113685872/atwells-revenge,3.5,-1,Trad,5.8,1,35,43.579,-74.88336
Fritzie's Honor,Cedar River Crag > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109514115/fritzies-honor,3.5,-1,Trad,5.9,1,85,43.74566,-74.46219
Bimathalon (aka Silver Slab),Outback Slab > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107710427/bimathalon-aka-silver-slab,3.5,-1,Trad,5.11a,2,285,44.5157,-73.8017
Lurch,Outback Slab > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/109477845/lurch,3.5,-1,Sport,5.11b,2,200,44.5157,-73.8017
Second Amendment,Sky High Wall > Sky High > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107940795/second-amendment,3.0,-1,Trad,5.10b PG13,2,200,43.54061,-73.95651
Diamonds Aren't Forever,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106768347/diamonds-arent-forever,2.4,-1,Sport,5.11a,1,100,44.127,-73.7236
Soweto,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107221217/soweto,2.9,-1,Trad,5.8,1,100,43.53608,-74.15106
Bouncer,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/108209443/bouncer,2.2,-1,"Trad, TR",5.10b R,1,40,44.14338,-73.75578
Psalm 32,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106078454/psalm-32,3.1,-1,"Trad, Aid",5.12a/b A0,3,250,44.40783,-73.50371
